JobID,JobName,TotalCPU,MaxRSS,Elapsed
6425471_24,get_pmi_weights,22:40.509,15258032K,00:22:48
6425471_240,get_pmi_weights,18:24.744,10788532K,00:18:30
6425471_241,get_pmi_weights,18:41.814,10773448K,00:18:47
6425471_242,get_pmi_weights,18:36.837,10684588K,00:18:42
6425471_243,get_pmi_weights,22:11.417,11793516K,00:22:19
6425471_244,get_pmi_weights,22:23.380,10215056K,00:22:23
6425471_245,get_pmi_weights,22:08.693,10521076K,00:22:11
6425471_246,get_pmi_weights,23:17.081,11091412K,00:23:24
6425471_247,get_pmi_weights,22:24.703,11598040K,00:22:32
6425471_248,get_pmi_weights,22:32.630,10458768K,00:22:33
6425471_249,get_pmi_weights,22:12.935,10382116K,00:22:15
6425471_25,get_pmi_weights,23:27.329,16551348K,00:23:35
6425471_250,get_pmi_weights,22:34.862,11041880K,00:22:37
6425471_251,get_pmi_weights,22:25.995,10772244K,00:22:24
6425471_252,get_pmi_weights,22:43.197,10398456K,00:22:49
6425471_253,get_pmi_weights,22:42.779,10913632K,00:22:45
6425471_254,get_pmi_weights,22:59.441,10581596K,00:23:07
6425471_255,get_pmi_weights,22:34.864,10864824K,00:22:42
6425471_256,get_pmi_weights,22:47.299,10624720K,00:22:53
6425471_257,get_pmi_weights,22:44.227,11294732K,00:22:52
6425471_258,get_pmi_weights,21:55.462,10911600K,00:21:58
6425471_259,get_pmi_weights,22:18.238,11204548K,00:22:19
6425471_26,get_pmi_weights,22:53.156,17360776K,00:23:01
6425471_260,get_pmi_weights,22:31.963,11392456K,00:22:34
6425471_261,get_pmi_weights,18:54.391,11076208K,00:19:00
6425471_262,get_pmi_weights,19:09.767,10545628K,00:19:15
6425471_263,get_pmi_weights,19:04.755,11440992K,00:19:10
6425471_264,get_pmi_weights,19:31.106,11208232K,00:19:37
6425471_265,get_pmi_weights,19:06.953,12198004K,00:19:13
6425471_266,get_pmi_weights,19:11.500,11039144K,00:19:17
6425471_267,get_pmi_weights,19:15.971,12310124K,00:19:22
6425471_268,get_pmi_weights,18:49.399,13132092K,00:18:55
6425471_269,get_pmi_weights,19:38.483,12138924K,00:19:44
6425471_27,get_pmi_weights,22:38.967,16471164K,00:22:47
6425471_270,get_pmi_weights,19:26.298,12369104K,00:19:32
6425471_271,get_pmi_weights,18:58.206,13084892K,00:19:04
6425471_272,get_pmi_weights,19:47.153,13120004K,00:19:53
6425471_273,get_pmi_weights,19:09.482,13409088K,00:19:15
6425471_274,get_pmi_weights,19:14.158,13226176K,00:19:20
6425471_275,get_pmi_weights,18:58.114,12100300K,00:19:04
6425471_276,get_pmi_weights,18:29.320,12572272K,00:18:35
6425471_277,get_pmi_weights,18:24.807,12425948K,00:18:31
6425471_278,get_pmi_weights,18:48.387,12783688K,00:18:54
6425471_279,get_pmi_weights,19:35.819,12912732K,00:19:42
6425471_28,get_pmi_weights,23:11.837,16112868K,00:23:20
6425471_280,get_pmi_weights,19:47.679,12153880K,00:19:53
6425471_281,get_pmi_weights,19:48.511,13420712K,00:19:54
6425471_282,get_pmi_weights,20:25.749,12782680K,00:20:32
6425471_283,get_pmi_weights,19:35.022,13644212K,00:19:41
6425471_284,get_pmi_weights,19:25.628,13286572K,00:19:31
6425471_285,get_pmi_weights,19:47.410,12127284K,00:19:53
6425471_286,get_pmi_weights,19:42.726,12742352K,00:19:49
6425471_287,get_pmi_weights,20:40.795,11731988K,00:20:47
6425471_288,get_pmi_weights,20:39.142,11716876K,00:20:45
6425471_289,get_pmi_weights,20:10.412,12140900K,00:20:16
6425471_29,get_pmi_weights,03:30:50,16597400K,03:31:38
6425471_290,get_pmi_weights,20:27.905,12205380K,00:20:34
6425471_291,get_pmi_weights,20:05.653,12282356K,00:20:12
6425471_292,get_pmi_weights,20:07.035,12306916K,00:20:13
6425471_293,get_pmi_weights,19:35.587,13536004K,00:19:42
6425471_294,get_pmi_weights,19:22.923,13106752K,00:19:29
6425471_295,get_pmi_weights,19:27.203,12628888K,00:19:33
6425471_296,get_pmi_weights,19:21.033,12464916K,00:19:27
6425471_297,get_pmi_weights,19:34.695,13217732K,00:19:41
6425471_298,get_pmi_weights,19:52.071,12719060K,00:19:57
6425471_299,get_pmi_weights,19:34.602,13606812K,00:19:40
6425471_3,get_pmi_weights,21:42.344,13764088K,00:21:51
6425471_30,get_pmi_weights,03:40:17,16607788K,03:41:04
6425471_300,get_pmi_weights,19:45.627,13540400K,00:19:51
6425471_301,get_pmi_weights,19:39.399,12554272K,00:19:45
6425471_302,get_pmi_weights,19:27.785,13006652K,00:19:33
6425471_303,get_pmi_weights,20:02.824,13275036K,00:20:08
6425471_304,get_pmi_weights,19:14.568,12205800K,00:19:20
6425471_305,get_pmi_weights,18:58.639,12712244K,00:19:04
6425471_306,get_pmi_weights,19:44.676,13348968K,00:19:51
6425471_307,get_pmi_weights,19:21.072,13483004K,00:19:27
6425471_308,get_pmi_weights,19:43.057,13608392K,00:19:49
6425471_309,get_pmi_weights,18:01.661,7413804K,00:18:07
6425471_31,get_pmi_weights,03:40:03,16587380K,03:40:49
6425471_310,get_pmi_weights,18:17.715,7468648K,00:18:23
6425471_311,get_pmi_weights,17:40.196,8018904K,00:17:45
6425471_312,get_pmi_weights,17:19.457,8075748K,00:17:25
6425471_313,get_pmi_weights,17:18.107,7927252K,00:17:23
6425471_314,get_pmi_weights,17:22.563,7946772K,00:17:28
6425471_315,get_pmi_weights,16:55.626,7408620K,00:17:01
6425471_316,get_pmi_weights,17:28.290,7606796K,00:17:33
6425471_317,get_pmi_weights,17:43.948,7634880K,00:17:49
6425471_318,get_pmi_weights,17:19.198,7585664K,00:17:24
6425471_319,get_pmi_weights,16:59.098,8017576K,00:17:04
6425471_32,get_pmi_weights,03:39:50,16565464K,03:40:37
6425471_320,get_pmi_weights,17:22.215,7486968K,00:17:27
6425471_321,get_pmi_weights,16:52.225,7136428K,00:16:57
6425471_322,get_pmi_weights,17:18.021,8123104K,00:17:23
6425471_323,get_pmi_weights,17:26.329,8493740K,00:17:31
6425471_324,get_pmi_weights,17:28.265,8642388K,00:17:34
6425471_325,get_pmi_weights,17:15.550,7483348K,00:17:21
6425471_326,get_pmi_weights,17:36.114,7521860K,00:17:41
6425471_327,get_pmi_weights,17:03.139,7660772K,00:17:08
6425471_328,get_pmi_weights,17:50.706,7825876K,00:17:56
6425471_329,get_pmi_weights,17:23.065,7415912K,00:17:28
6425471_33,get_pmi_weights,03:39:47,16566188K,03:40:33
6425471_330,get_pmi_weights,16:52.213,7633436K,00:16:57
6425471_331,get_pmi_weights,16:57.984,8073356K,00:17:03
6425471_332,get_pmi_weights,17:24.466,7564460K,00:17:30
6425471_333,get_pmi_weights,16:32.592,8425480K,00:16:37
6425471_334,get_pmi_weights,16:59.047,8142432K,00:17:03
6425471_335,get_pmi_weights,16:38.703,7415780K,00:16:43
6425471_336,get_pmi_weights,16:38.507,8395768K,00:16:43
6425471_337,get_pmi_weights,16:45.446,7565152K,00:16:50
6425471_338,get_pmi_weights,16:16.365,7769920K,00:16:21
6425471_339,get_pmi_weights,16:58.328,7455964K,00:17:03
6425471_34,get_pmi_weights,03:39:45,16607596K,03:40:31
6425471_340,get_pmi_weights,16:56.591,7415464K,00:17:01
6425471_341,get_pmi_weights,16:57.584,7415412K,00:17:03
6425471_342,get_pmi_weights,16:37.756,7421372K,00:16:43
6425471_343,get_pmi_weights,16:27.157,7407228K,00:16:32
6425471_344,get_pmi_weights,16:39.117,7241.50M,00:16:44
6425471_345,get_pmi_weights,16:35.964,7413960K,00:16:41
6425471_346,get_pmi_weights,16:36.819,7413872K,00:16:42
6425471_347,get_pmi_weights,16:12.995,7415356K,00:16:18
6425471_348,get_pmi_weights,16:32.347,7737092K,00:16:37
6425471_349,get_pmi_weights,16:52.286,8176256K,00:16:57
6425471_35,get_pmi_weights,03:39:56,16602964K,03:40:42
6425471_350,get_pmi_weights,16:46.787,7755628K,00:16:52
6425471_351,get_pmi_weights,17:24.888,8180048K,00:17:31
6425471_352,get_pmi_weights,17:45.915,8335796K,00:17:51
6425471_353,get_pmi_weights,14:35.443,8490592K,00:14:40
6425471_354,get_pmi_weights,14:54.593,10144068K,00:14:59
6425471_355,get_pmi_weights,14:32.646,8815396K,00:14:37
6425471_356,get_pmi_weights,14:30.984,10174612K,00:14:35
6425471_357,get_pmi_weights,14:19.366,9038760K,00:14:24
6425471_358,get_pmi_weights,14:20.668,8487576K,00:14:26
6425471_359,get_pmi_weights,14:41.510,9260584K,00:14:46
6425471_36,get_pmi_weights,03:39:43,16607652K,03:40:30
6425471_360,get_pmi_weights,14:37.965,8488224K,00:14:43
6425471_361,get_pmi_weights,14:35.805,8488776K,00:14:40
6425471_362,get_pmi_weights,14:31.207,8682512K,00:14:36
6425471_363,get_pmi_weights,14:55.101,8858464K,00:15:00
6425471_364,get_pmi_weights,14:49.821,8960056K,00:14:54
6425471_365,get_pmi_weights,14:39.105,10325932K,00:14:44
6425471_366,get_pmi_weights,14:01.394,10572564K,00:14:06
6425471_367,get_pmi_weights,14:06.859,10693416K,00:14:12
6425471_368,get_pmi_weights,14:01.963,10722680K,00:14:07
6425471_369,get_pmi_weights,14:19.914,9251480K,00:14:25
6425471_37,get_pmi_weights,03:39:45,16604720K,03:40:32
6425471_370,get_pmi_weights,14:20.656,8587528K,00:14:25
6425471_371,get_pmi_weights,14:30.398,9253564K,00:14:35
6425471_372,get_pmi_weights,14:10.089,8782.50M,00:14:14
6425471_373,get_pmi_weights,14:15.545,9792776K,00:14:20
6425471_374,get_pmi_weights,14:30.684,8685516K,00:14:35
6425471_375,get_pmi_weights,14:33.951,10154592K,00:14:38
6425471_376,get_pmi_weights,14:24.326,9197460K,00:14:29
6425471_377,get_pmi_weights,14:36.066,8478024K,00:14:41
6425471_378,get_pmi_weights,14:46.770,8488760K,00:14:52
